Superlattice vectors (celldm1_l units):
-0.50000000000 26.84678740000 0.00000000000
-23.50000000000 12.99038100000 0.00000000000
Layer 1 points (Angstrom):
Se1 -78.02000000000 41.21126203083 4.34440811000
Se2 -78.02000000000 41.21126203083 7.43463952000
Se1 -79.68000000000 44.08646635883 4.34440811000
Se2 -79.68000000000 44.08646635883 7.43463952000
Se1 -73.04000000000 38.33605770283 4.34440811000
Se2 -73.04000000000 38.33605770283 7.43463952000
Se1 -74.70000000000 41.21126203083 4.34440811000
Se2 -74.70000000000 41.21126203083 7.43463952000
Mo -76.36000000000 40.25286059200 5.88952381500
Se1 -76.36000000000 44.08646635883 4.34440811000
Se2 -76.36000000000 44.08646635883 7.43463952000
Mo -78.02000000000 43.12806492000 5.88952381500
Se1 -78.02000000000 46.96167068683 4.34440811000
Se2 -78.02000000000 46.96167068683 7.43463952000
Mo -79.68000000000 46.00326924800 5.88952381500
Se1 -79.68000000000 49.83687501483 4.34440811000
Se2 -79.68000000000 49.83687501483 7.43463952000
Se1 -68.06000000000 35.46085337483 4.34440811000
Se2 -68.06000000000 35.46085337483 7.43463952000
Se1 -69.72000000000 38.33605770283 4.34440811000
Se2 -69.72000000000 38.33605770283 7.43463952000
Mo -71.38000000000 37.37765626400 5.88952381500
Se1 -71.38000000000 41.21126203083 4.34440811000
Se2 -71.38000000000 41.21126203083 7.43463952000
Mo -73.04000000000 40.25286059200 5.88952381500
Se1 -73.04000000000 44.08646635883 4.34440811000
Se2 -73.04000000000 44.08646635883 7.43463952000
Mo -74.70000000000 43.12806492000 5.88952381500
Se1 -74.70000000000 46.96167068683 4.34440811000
Se2 -74.70000000000 46.96167068683 7.43463952000
Mo -76.36000000000 46.00326924800 5.88952381500
Se1 -76.36000000000 49.83687501483 4.34440811000
Se2 -76.36000000000 49.83687501483 7.43463952000
Mo -78.02000000000 48.87847357600 5.88952381500
Se1 -78.02000000000 52.71207934283 4.34440811000
Se2 -78.02000000000 52.71207934283 7.43463952000
Mo -79.68000000000 51.75367790400 5.88952381500
Se1 -79.68000000000 55.58728367083 4.34440811000
Se2 -79.68000000000 55.58728367083 7.43463952000
Se1 -63.08000000000 32.58564904683 4.34440811000
Se2 -63.08000000000 32.58564904683 7.43463952000
Se1 -64.74000000000 35.46085337483 4.34440811000
Se2 -64.74000000000 35.46085337483 7.43463952000
Mo -66.40000000000 34.50245193600 5.88952381500
Se1 -66.40000000000 38.33605770283 4.34440811000
Se2 -66.40000000000 38.33605770283 7.43463952000
Mo -68.06000000000 37.37765626400 5.88952381500
Se1 -68.06000000000 41.21126203083 4.34440811000
Se2 -68.06000000000 41.21126203083 7.43463952000
Mo -69.72000000000 40.25286059200 5.88952381500
Se1 -69.72000000000 44.08646635883 4.34440811000
Se2 -69.72000000000 44.08646635883 7.43463952000
Mo -71.38000000000 43.12806492000 5.88952381500
Se1 -71.38000000000 46.96167068683 4.34440811000
Se2 -71.38000000000 46.96167068683 7.43463952000
Mo -73.04000000000 46.00326924800 5.88952381500
Se1 -73.04000000000 49.83687501483 4.34440811000
Se2 -73.04000000000 49.83687501483 7.43463952000
Mo -74.70000000000 48.87847357600 5.88952381500
Se1 -74.70000000000 52.71207934283 4.34440811000
Se2 -74.70000000000 52.71207934283 7.43463952000
Mo -76.36000000000 51.75367790400 5.88952381500
Se1 -76.36000000000 55.58728367083 4.34440811000
Se2 -76.36000000000 55.58728367083 7.43463952000
Mo -78.02000000000 54.62888223200 5.88952381500
